0,55.4712592,10.3237226,11.74,287
1,55.4714943,10.3237660,25.38,350
2,55.4714943,10.3237706,28.24,349
3,55.4714949,10.3237703,29.26,356
4,55.4714831,10.3237844,29.55,75
5,55.4714827,10.3237949,29.61,17
6,55.4715011,10.3237803,29.73,321
7,55.4715113,10.3237643,29.79,331
8,55.4715228,10.3237513,29.89,333
9,55.4715375,10.3237388,29.88,331
10,55.4715510,10.3237261,29.87,325
11,55.4715654,10.3237092,29.92,327
12,55.4715782,10.3236932,29.90,328
13,55.4715897,10.3236794,29.86,328
14,55.4716040,10.3236653,29.80,326
15,55.4716173,10.3236497,29.84,326
16,55.4716320,10.3236328,30.03,325
17,55.4716438,10.3236180,30.02,312
18,55.4716408,10.3235948,29.92,235
19,55.4716323,10.3235670,29.88,250
20,55.4716277,10.3235408,29.85,252
21,55.4716194,10.3235317,29.87,190
22,55.4716041,10.3235500,29.92,148
23,55.4715888,10.3235612,29.98,153
24,55.4715749,10.3235718,30.08,152
25,55.4715597,10.3235867,30.02,153
26,55.4715466,10.3235968,30.03,153
27,55.4715313,10.3236076,30.09,152
28,55.4715176,10.3236216,30.01,152
29,55.4715025,10.3236358,29.90,152
30,55.4714882,10.3236482,29.86,152
31,55.4714740,10.3236591,29.91,151
32,55.4714602,10.3236729,29.96,152
33,55.4714467,10.3236672,29.98,223
34,55.4714408,10.3236364,29.87,232
35,55.4714333,10.3236187,29.84,232
36,55.4714227,10.3235972,29.81,235
37,55.4714129,10.3235733,29.84,236
38,55.4714165,10.3235496,29.92,314
39,55.4714309,10.3235349,29.90,317
40,55.4714434,10.3235173,29.83,317
41,55.4714552,10.3234985,29.84,317
42,55.4714668,10.3234789,29.86,318
43,55.4714778,10.3234608,29.84,318
44,55.4714903,10.3234424,29.88,317
45,55.4715021,10.3234246,29.93,318
46,55.4715140,10.3234046,29.87,317
47,55.4715256,10.3233871,29.81,318
48,55.4715373,10.3233688,29.89,317
49,55.4715488,10.3233521,29.96,317
50,55.4715604,10.3233323,29.92,318
51,55.4715721,10.3233122,29.97,298
52,55.4715659,10.3232975,29.98,218
53,55.4715501,10.3233131,29.96,139
54,55.4715371,10.3233290,29.91,145
55,55.4715235,10.3233411,30.04,146
56,55.4715108,10.3233581,29.98,147
57,55.4714972,10.3233720,29.92,145
58,55.4714836,10.3233875,29.97,146
59,55.4714717,10.3234020,30.00,145
60,55.4714587,10.3234175,29.99,146
61,55.4714452,10.3234333,29.94,146
62,55.4714325,10.3234481,29.95,147
63,55.4714188,10.3234627,29.94,145
64,55.4714055,10.3234788,29.85,145
65,55.4713912,10.3234851,30.05,193
66,55.4713807,10.3234600,29.93,218
67,55.4713694,10.3234474,29.84,229
68,55.4713770,10.3234280,29.81,312
69,55.4713933,10.3234138,29.86,321
70,55.4714051,10.3234003,29.84,324
71,55.4714176,10.3233828,29.84,323
72,55.4714310,10.3233656,29.87,323
73,55.4714436,10.3233487,29.89,323
74,55.4714558,10.3233326,29.87,323
75,55.4714695,10.3233161,29.87,324
76,55.4714816,10.3233004,29.90,323
77,55.4714943,10.3232842,29.92,323
78,55.4715075,10.3232665,29.94,323
79,55.4715208,10.3232498,29.97,323
80,55.4715332,10.3232346,29.92,322
81,55.4715412,10.3232142,29.94,269
82,55.4715363,10.3231866,29.98,257
83,55.4715321,10.3231583,29.92,256
84,55.4715221,10.3231611,29.99,176
85,55.4715094,10.3231789,30.07,145
86,55.4714941,10.3231908,29.98,149
87,55.4714805,10.3232023,29.90,148
88,55.4714679,10.3232151,29.98,148
89,55.4714566,10.3232281,30.02,148
90,55.4714421,10.3232435,29.91,149
91,55.4714295,10.3232576,29.87,149
92,55.4714165,10.3232709,29.96,149
93,55.4714025,10.3232841,30.01,148
94,55.4713889,10.3232990,29.94,149
95,55.4713763,10.3233132,29.95,150
96,55.4713632,10.3233275,29.96,151
97,55.4713481,10.3233400,30.00,146
98,55.4713356,10.3233363,29.93,217
99,55.4713239,10.3233137,29.95,213
100,55.4713221,10.3232981,29.86,276
101,55.4713377,10.3232802,29.89,329
102,55.4713513,10.3232672,29.84,321
103,55.4713634,10.3232509,29.81,322
104,55.4713758,10.3232326,29.75,323
105,55.4713879,10.3232171,29.77,322
106,55.4714005,10.3232009,29.83,322
107,55.4714129,10.3231843,29.91,322
108,55.4714258,10.3231669,29.89,323
109,55.4714382,10.3231513,29.93,322
110,55.4714513,10.3231347,29.94,322
111,55.4714635,10.3231175,29.98,323
112,55.4714765,10.3231003,30.04,323
113,55.4714887,10.3230849,30.01,322
114,55.4714990,10.3230770,29.93,13
115,55.4714951,10.3231051,29.90,85
116,55.4714942,10.3231330,30.01,96
117,55.4714925,10.3231625,29.94,96
118,55.4714903,10.3231912,29.95,96
119,55.4714887,10.3232174,29.91,96
120,55.4714869,10.3232465,29.84,96
121,55.4714853,10.3232733,29.84,96
122,55.4714836,10.3233017,29.91,96
123,55.4714817,10.3233274,29.99,97
124,55.4714801,10.3233535,29.93,96
125,55.4714782,10.3233813,29.88,96
126,55.4714764,10.3234089,29.91,97
127,55.4714742,10.3234373,29.91,96
128,55.4714722,10.3234654,30.01,97
129,55.4714705,10.3234916,30.05,97
130,55.4714692,10.3235207,29.93,95
131,55.4714672,10.3235492,29.94,97
132,55.4714645,10.3235750,29.95,96
133,55.4714629,10.3236019,29.88,96
134,55.4714607,10.3236300,29.89,96
135,55.4714594,10.3236562,29.91,95
136,55.4714582,10.3236819,29.94,97
