0,55.4714383,10.3238038,11.13,312
1,55.4715335,10.3236876,31.14,333
2,55.4715321,10.3236877,31.54,336
3,55.4715327,10.3236882,31.63,329
4,55.4715602,10.3236527,34.07,330
5,55.4715614,10.3236532,34.29,333
6,55.4715584,10.3236490,34.40,332
7,55.4715536,10.3236314,34.33,333
8,55.4715504,10.3235846,35.30,333
9,55.4716060,10.3235409,41.52,331
10,55.4716063,10.3235478,41.90,335
11,55.4716172,10.3236072,42.83,334
12,55.4716180,10.3236100,39.15,333
13,55.4716198,10.3236065,27.27,318
14,55.4715968,10.3235464,25.01,327
