0,55.4717280,10.3233143,52.80,290
1,55.4717467,10.3232813,52.67,354
2,55.4719726,10.3233231,52.59,18
3,55.4719600,10.3233564,52.61,107
4,55.4719129,10.3234413,52.67,134
5,55.4718622,10.3235393,52.42,133
6,55.4718437,10.3235684,52.43,155
7,55.4717990,10.3235924,52.63,160
8,55.4717258,10.3236300,52.69,163
9,55.4716470,10.3236698,52.67,161
10,55.4715915,10.3236971,52.53,162
11,55.4715668,10.3237085,51.75,161
12,55.4715609,10.3237133,48.95,162
13,55.4715590,10.3237138,46.33,155
14,55.4715584,10.3237139,43.50,155
15,55.4715588,10.3237135,33.26,158
16,55.4715602,10.3237145,24.73,159
17,55.4715606,10.3237140,21.25,156
18,55.4715601,10.3237140,13.70,158
