0,55.4714740,10.3238309,22.11,343
1,55.4714747,10.3238327,26.75,344
2,55.4714748,10.3238325,29.48,343
3,55.4714743,10.3238324,30.46,343
4,55.4714800,10.3238262,30.60,320
5,55.4714861,10.3238177,30.60,321
6,55.4714913,10.3238100,30.72,322
7,55.4714970,10.3238022,30.74,322
8,55.4715029,10.3237947,30.76,322
9,55.4715101,10.3237852,30.81,322
10,55.4715170,10.3237764,30.93,322
11,55.4715217,10.3237684,30.96,322
12,55.4715271,10.3237595,30.99,323
13,55.4715340,10.3237524,31.04,321
14,55.4715407,10.3237436,31.09,321
15,55.4715462,10.3237346,31.17,327
16,55.4715537,10.3237276,31.26,327
17,55.4715596,10.3237200,31.18,327
18,55.4715664,10.3237121,31.13,327
19,55.4715729,10.3237058,31.13,326
20,55.4715802,10.3236991,31.12,327
21,55.4715864,10.3236908,31.15,327
22,55.4715926,10.3236827,31.17,327
23,55.4715990,10.3236749,31.18,329
24,55.4716058,10.3236683,31.16,327
25,55.4716135,10.3236617,31.13,326
26,55.4716200,10.3236538,31.14,327
27,55.4716257,10.3236453,31.16,327
28,55.4716318,10.3236410,31.13,326
29,55.4716388,10.3236354,31.12,326
30,55.4716440,10.3236260,31.23,327
31,55.4716502,10.3236177,31.26,329
32,55.4716566,10.3236102,31.22,329
33,55.4716628,10.3236044,31.23,327
34,55.4716705,10.3235960,31.17,328
35,55.4716770,10.3235887,31.22,327
36,55.4716839,10.3235814,31.26,327
37,55.4716901,10.3235741,31.13,328
38,55.4716960,10.3235690,31.15,326
39,55.4717042,10.3235605,31.37,324
40,55.4717101,10.3235533,31.36,327
41,55.4717153,10.3235442,31.29,290
42,55.4717130,10.3235298,31.06,245
43,55.4717093,10.3235156,31.15,251
44,55.4717070,10.3235042,31.03,253
45,55.4717050,10.3234909,31.07,252
46,55.4717027,10.3234775,31.14,252
47,55.4716998,10.3234654,31.05,253
48,55.4716980,10.3234507,31.22,251
49,55.4716956,10.3234389,31.26,252
50,55.4716921,10.3234263,31.18,258
51,55.4716908,10.3234138,31.24,257
52,55.4716857,10.3234095,31.27,190
53,55.4716775,10.3234162,31.28,143
54,55.4716711,10.3234204,31.45,148
55,55.4716639,10.3234258,31.47,148
56,55.4716562,10.3234340,31.23,149
57,55.4716507,10.3234427,31.16,149
58,55.4716450,10.3234488,31.24,148
59,55.4716379,10.3234549,31.21,148
60,55.4716308,10.3234625,31.16,149
61,55.4716247,10.3234697,31.25,149
62,55.4716186,10.3234765,31.27,148
63,55.4716113,10.3234841,31.28,148
64,55.4716050,10.3234907,31.29,149
65,55.4715983,10.3234958,31.30,148
66,55.4715923,10.3235024,31.28,148
67,55.4715861,10.3235112,31.30,148
68,55.4715793,10.3235172,31.28,149
69,55.4715716,10.3235237,31.25,148
70,55.4715654,10.3235317,31.18,149
71,55.4715595,10.3235391,31.13,148
72,55.4715528,10.3235463,31.14,149
73,55.4715453,10.3235539,31.21,148
74,55.4715395,10.3235603,31.29,148
75,55.4715333,10.3235681,31.24,149
76,55.4715262,10.3235760,31.25,148
77,55.4715203,10.3235836,31.32,150
78,55.4715136,10.3235888,31.34,150
79,55.4715062,10.3235951,31.22,149
80,55.4714991,10.3236020,31.20,148
81,55.4714926,10.3236093,31.29,149
82,55.4714878,10.3236136,32.01,149
